xvals,yvals,upper,lower,factor,group,period,first_year,last_year
10.2,-0.728746998871799,-0.115762502303849,-1.34173149543975,eci,No OPEC,1990 - 2016,1990,2016
10.3,-0.774352938436398,-0.148960691158762,-1.39974518571403,eci,No OPEC,1990 - 2016,1990,2016
10.4,-0.819958878001124,-0.18084487629732,-1.45907287970493,eci,No OPEC,1990 - 2016,1990,2016
10.5,-0.865564817565699,-0.211498235391613,-1.51963139973979,eci,No OPEC,1990 - 2016,1990,2016
10.6,-0.911170757130363,-0.241002639001193,-1.58133887525953,eci,No OPEC,1990 - 2016,1990,2016
10.7,-0.956776696695012,-0.269439117724243,-1.64411427566578,eci,No OPEC,1990 - 2016,1990,2016
10.8,-1.00238263625964,-0.296884887991344,-1.70788038452793,eci,No OPEC,1990 - 2016,1990,2016
10.9,-1.04798857582426,-0.323415105402546,-1.77256204624598,eci,No OPEC,1990 - 2016,1990,2016
11,-1.09359451538886,-0.349099747506202,-1.83808928327153,eci,No OPEC,1990 - 2016,1990,2016
11.1,-1.13920045495352,-0.37400546071454,-1.90439544919251,eci,No OPEC,1990 - 2016,1990,2016
11.2,-1.18480639451821,-0.398193377876834,-1.97141941115958,eci,No OPEC,1990 - 2016,1990,2016
11.3,-1.23041233408278,-0.421720678407379,-2.03910398975817,eci,No OPEC,1990 - 2016,1990,2016
11.4,-1.2760182736474,-0.444639826704965,-2.10739672058983,eci,No OPEC,1990 - 2016,1990,2016
11.5,-1.32162421321202,-0.466999188967301,-2.17624923745674,eci,No OPEC,1990 - 2016,1990,2016
11.6,-1.36723015277668,-0.488844003689695,-2.24561630186367,eci,No OPEC,1990 - 2016,1990,2016
11.7,-1.41283609234134,-0.51021385773401,-2.31545832694867,eci,No OPEC,1990 - 2016,1990,2016
11.8,-1.45844203190603,-0.531146086179131,-2.38573797763293,eci,No OPEC,1990 - 2016,1990,2016
11.9,-1.50404797147059,-0.551675589189886,-2.4564203537513,eci,No OPEC,1990 - 2016,1990,2016
12,-1.54965391103518,-0.571832424652019,-2.52747539741834,eci,No OPEC,1990 - 2016,1990,2016
6,2.86388105773684,4.6614751664513,1.06628694902238,eci,OPEC,1990 - 2016,1990,2016
6.1,2.81827511817246,4.60465961212123,1.0318906242237,eci,OPEC,1990 - 2016,1990,2016
6.2,2.7726691786071,4.54829673090057,0.997041626313628,eci,OPEC,1990 - 2016,1990,2016
6.3,2.72706323904297,4.49246560662618,0.961660871459753,eci,OPEC,1990 - 2016,1990,2016
6.4,2.68145729947867,4.43711719467827,0.925797404279073,eci,OPEC,1990 - 2016,1990,2016
6.5,2.63585135991388,4.38228957065924,0.889413149168522,eci,OPEC,1990 - 2016,1990,2016
6.6,2.59024542034852,4.32796162807564,0.852529212621394,eci,OPEC,1990 - 2016,1990,2016
6.7,2.54463948078472,4.27419775742056,0.815081204148878,eci,OPEC,1990 - 2016,1990,2016
6.8,2.4990335412191,4.22093888783347,0.777128194604732,eci,OPEC,1990 - 2016,1990,2016
6.9,2.45342760165547,4.1682491808728,0.738606022438138,eci,OPEC,1990 - 2016,1990,2016
7,2.40782166208985,4.11610955157493,0.699533772604774,eci,OPEC,1990 - 2016,1990,2016
7.1,2.36221572252655,4.06451880673998,0.659912638313115,eci,OPEC,1990 - 2016,1990,2016
7.2,2.31660978296069,4.01350008998877,0.619719475932604,eci,OPEC,1990 - 2016,1990,2016
7.3,2.27100384339714,3.96304474390662,0.578962942887653,eci,OPEC,1990 - 2016,1990,2016
7.4,2.22539790383102,3.91317116568667,0.537624641975377,eci,OPEC,1990 - 2016,1990,2016
7.5,2.17979196426772,3.86387205867446,0.495711869860986,eci,OPEC,1990 - 2016,1990,2016
7.6,2.13418602470178,3.81515442704123,0.453217622362318,eci,OPEC,1990 - 2016,1990,2016
7.7,2.08858008513839,3.76702454053109,0.410135629745685,eci,OPEC,1990 - 2016,1990,2016
7.8,2.04297414557228,3.71948499755671,0.366463293587851,eci,OPEC,1990 - 2016,1990,2016
7.9,1.99736820600972,3.672525648091,0.322210763928434,eci,OPEC,1990 - 2016,1990,2016
8,1.9517622664432,3.62616417932795,0.277360353558438,eci,OPEC,1990 - 2016,1990,2016
8.1,1.90615632688006,3.58040430319273,0.231908350567384,eci,OPEC,1990 - 2016,1990,2016
8.2,1.86055038731552,3.5352209759331,0.185879798697933,eci,OPEC,1990 - 2016,1990,2016
8.3,1.81494444774899,3.49064772683511,0.139241168662874,eci,OPEC,1990 - 2016,1990,2016
8.4,1.76933850818461,3.44664743441436,0.0920295819548647,eci,OPEC,1990 - 2016,1990,2016
8.5,1.72373256862148,3.40326301404302,0.0442021231999359,eci,OPEC,1990 - 2016,1990,2016
8.6,1.67812662905594,3.36043568843181,-0.00418243031992005,eci,OPEC,1990 - 2016,1990,2016
